lac-cid,lat,long
9480-57387,23.09993,113.3533
42289-54661,23.554133,113.597017
42289-54662,23.554133,113.597017
10027-25829,0.0,0.0
10027-25828,0.0,0.0
10043-18793,23.14257,113.30333
10043-18792,23.14257,113.30333
10043-18791,23.14257,113.30333
9440-57179,23.27352,113.20183
10043-18797,23.15069,113.29863
10043-18796,23.14257,113.30333
10043-18795,23.14257,113.30333
10043-18794,23.14257,113.30333
10320-53101,23.21321,113.25417
42265-13911,23.13153,113.31943
10320-53103,23.21321,113.25417
10320-53102,23.21321,113.25417
10320-53105,23.21036,113.25712
10320-53104,23.21036,113.25712
10320-53107,23.21036,113.25712
10320-53106,23.21036,113.25712
9508-10158,23.11987,113.26715
9508-10159,23.11987,113.26715
9508-10154,23.12738,113.27523
42260-1762,23.26335,113.24855
42260-1761,23.26335,113.24855
42265-13912,23.13153,113.31943
9473-46927,0.0,0.0
10310-17361,0.0,0.0
10310-17362,23.418573,113.163537
10310-17363,23.423109,113.161739
10005-29896,23.09922,113.26877
10005-29897,23.09922,113.26877
10005-29894,23.09922,113.26877
10005-29895,23.09922,113.26877
42266-42291,23.105048,113.283734
10333-50157,0.0,0.0
42261-482,23.46917,113.22
10038-54528,0.0,0.0
10038-54529,23.138668,113.515693
42259-63881,0.0,0.0
42260-1491,23.29622,113.29265
10038-54527,0.0,0.0
42260-1493,23.29622,113.29265
42260-1492,23.29622,113.29265
9734-40591,23.15366,113.24641
9734-40594,23.15366,113.24641
9734-40595,23.15366,113.24641
10323-44928,0.0,0.0
10323-44929,0.0,0.0
42268-21502,22.80778,113.40556
42268-21503,22.80778,113.40556
42268-21501,22.80778,113.40556
9481-59702,23.10009,113.24489
9481-59703,23.10009,113.24489
9481-59701,23.10009,113.24489
9441-56989,0.0,0.0
9441-56988,0.0,0.0
42289-24688,23.60326,113.67034
42265-51825,22.754997,113.589713
42265-51823,22.754997,113.589713
42265-51821,22.754997,113.589713
10013-25156,23.20905,113.2201
10325-52364,0.0,0.0
42289-24687,23.60326,113.67034
42289-24686,23.60326,113.67034
9467-30185,23.1208,113.2043
10013-25154,23.20905,113.2201
10036-52974,23.230826,113.295679
42266-33301,23.084617,113.264103
9455-38796,0.0,0.0
9455-38795,0.0,0.0
10013-25155,23.20905,113.2201
10036-52971,0.0,0.0
42260-36081,23.22612,113.28421
9445-46022,23.014921,113.338403
42259-732,0.0,0.0
10036-52973,23.233776,113.296477
42259-731,0.0,0.0
10333-46798,23.420692,113.20711
10324-51423,23.5768,113.66482
9464-51592,0.0,0.0
42263-16051,22.75047,113.57233
9459-14058,23.13914,113.34164
42259-61823,23.18515,113.33089
42259-61822,23.18515,113.33089
10040-40014,0.0,0.0
9422-43829,23.191277,113.356794
9422-43828,23.190803,113.357333
9422-43827,23.190089,113.356687
10323-50077,23.30025,113.826565
10323-50079,23.299782,113.825833
10323-50078,23.299195,113.828314
9459-10907,23.14875,113.34195
10325-52584,23.16538,113.38988
42261-1841,23.55306,113.31056
42267-35971,23.056289,113.409782
42261-1843,23.55306,113.31056
42261-1842,23.55306,113.31056
9477-54225,0.0,0.0
9477-54224,0.0,0.0
9477-54226,0.0,0.0
42259-17653,0.0,0.0
42259-17652,0.0,0.0
42259-17651,0.0,0.0
42259-6382,0.0,0.0
10302-26604,23.09242,113.52675
10013-49334,0.0,0.0
10013-49335,0.0,0.0
10013-49336,0.0,0.0
10026-16248,23.20908,113.33214
10026-16249,23.20908,113.33214
10026-16247,23.20908,113.33214
10307-21147,0.0,0.0
10034-15214,23.14237,113.40639
10323-14203,0.0,0.0
10035-46208,23.230243,113.268995
9746-51348,23.16672,113.20774
9746-51349,23.16672,113.20774
9730-53251,23.08051,113.48928
9746-51347,23.16672,113.20774
42261-11892,23.38992,113.2183
42261-11893,23.38992,113.2183
42261-11891,23.38992,113.2183
10318-9348,0.0,0.0
42259-55241,23.17677,113.39755
10044-44567,23.54259,113.58563
10327-15748,23.16329,113.31556
10327-15749,23.16329,113.31556
10327-15747,23.16329,113.31556
42265-56581,23.10513,113.35898
42265-56582,23.10513,113.35898
9457-24845,0.0,0.0
9457-24846,23.429449,113.417458
42288-17462,0.0,0.0
42288-17463,0.0,0.0
9495-47484,23.136347,113.326976
42259-37511,0.0,0.0
10306-41867,0.0,0.0
9444-26211,23.0369,113.269274
10013-52214,23.22075,113.17748
42260-10731,23.29709,113.26442
42260-10733,23.29709,113.26442
42260-10732,23.29709,113.26442
42265-56051,23.127716,113.305147
9488-55901,23.13681,113.302
42266-20396,23.075298,113.276416
42266-20397,23.075298,113.276416
9749-15299,23.100715,113.232811
9749-15298,23.100715,113.232811
10332-37887,0.0,0.0
9496-50086,23.08491,113.52896
42259-1043,23.17034,113.354
10332-37889,22.891789,113.370196
9496-50085,23.08491,113.52896
9749-15297,23.100715,113.232811
42266-20398,23.075298,113.276416
42260-15013,23.21869,113.2573
42260-15012,23.21869,113.2573
42260-15011,23.21869,113.2573
10023-20107,0.0,0.0
42259-18313,0.0,0.0
42268-59763,22.918,113.38509
42259-18311,0.0,0.0
42268-59762,22.918,113.38509
9483-29387,23.12337,113.41754
42259-15093,23.16709,113.33669
42259-15092,23.16709,113.33669
42259-15091,23.16709,113.33669
42266-60593,23.059966,113.222936
10003-25341,23.19983,113.24485
10003-25342,23.19983,113.24485
10003-25343,23.19983,113.24485
42259-49191,23.135796,113.333474
10318-28601,23.18841,113.2375
10318-28603,23.18841,113.2375
10318-28602,23.18841,113.2375
42265-62911,23.127518,113.28706
10302-65403,23.06751,113.52535
42260-49591,23.409789,113.305302
9435-50765,0.0,0.0
9487-40302,23.1481,113.22617
9487-40303,23.1481,113.22617
42259-38891,23.141194,113.351653
42265-17706,23.13162,113.37006
42265-17707,23.13162,113.37006
42265-63351,23.11817,113.35081
42265-63352,23.11817,113.35081
42265-63353,23.11817,113.35081
9472-31521,23.13374,113.3159
10032-14656,0.0,0.0
42261-14367,23.39534,113.1596
42265-23171,23.12431,113.33315
42265-23172,23.12431,113.33315
42265-23173,23.12431,113.33315
42288-26062,23.43472,113.7694
42288-26063,23.43472,113.7694
42288-26061,23.43472,113.7694
10040-45677,23.207026,113.467848
10299-51555,23.1163,113.36095
10299-51554,23.1163,113.36095
10299-51556,23.1163,113.36095
10031-42002,0.0,0.0
10031-42001,22.801066,113.566886
9439-59211,23.17127,113.24764
42263-64451,22.75544,113.45117
42263-64452,22.75544,113.45117
42263-64453,22.75544,113.45117
9736-47027,23.016297,113.316891
10018-31436,0.0,0.0
10006-20127,0.0,0.0
9467-16511,23.13382,113.219468
9467-16517,23.126307,113.224453
9467-16514,23.126307,113.224453
9467-16515,23.126307,113.224453
9431-10612,22.951313,113.410386
9431-10613,22.956204,113.404244
9467-16518,23.126307,113.224453
9431-10611,22.959719,113.414944
9439-19401,23.17518,113.25296
9472-41911,0.0,0.0
9472-41912,0.0,0.0
9472-41913,0.0,0.0
10043-10647,0.0,0.0
10024-65466,0.0,0.0
42259-60203,23.27821,113.44688
10316-31357,23.12981,113.2624
42265-36641,23.136054,113.314264
42265-36642,23.136054,113.314264
10044-28054,23.54306,113.58362
10044-28055,23.54306,113.58362
10044-28056,23.54306,113.58362
10316-31358,23.12981,113.2624
42261-11463,23.46091,113.1456
42261-11462,23.46091,113.1456
10324-57806,23.57316,113.62723
10324-57807,23.57316,113.62723
10326-47717,0.0,0.0
9474-32477,23.1355,113.33006
9434-12188,22.958055,113.391292
10003-17814,23.21531,113.2364
42266-22132,23.0657,113.307
9692-44281,22.935048,113.349755
10333-17378,0.0,0.0
10333-17379,23.425095,113.197864
10333-17377,0.0,0.0
42259-13513,23.15139,113.36119
9491-51419,23.103583,113.355795
9491-51418,23.103633,113.35494
9450-40907,23.14515,113.27299
9457-19541,0.0,0.0
9491-51417,23.10417,113.353218
9491-51411,23.102529,113.357366
9438-42387,0.0,0.0
9438-42384,0.0,0.0
9438-42382,0.0,0.0
9438-42383,0.0,0.0
9438-42381,0.0,0.0
9457-19542,23.388388,113.302058
10321-52688,0.0,0.0
9506-50378,23.63974,113.67102
9506-50379,23.63974,113.67102
42261-11283,23.38806,113.2078
42261-11282,23.38806,113.2078
42261-11281,23.38806,113.2078
9506-50372,23.64778,113.64888
9506-50373,23.64778,113.64888
42261-11651,23.38186,113.20212
9477-17893,23.33545,113.19687
9477-17892,23.33545,113.19687
9477-17891,23.33545,113.19687
9475-39547,23.17053,113.44736
9475-39546,23.17102,113.47478
9475-39545,23.17102,113.47478
9475-39544,23.17102,113.47478
9475-39541,23.17459,113.47271
9509-33524,23.11814,113.39192
9458-47321,23.06052,113.21892
9458-47322,23.06052,113.21892
10004-17294,23.18134,113.31022
10004-17295,23.18134,113.31022
10004-17296,23.18134,113.31022
10029-52522,0.0,0.0
10029-52521,23.118208,113.323037
9482-11237,23.113603,113.271904
9488-19984,23.13896,113.31048
9488-19987,23.1374,113.30814
9488-19981,23.13708,113.30941
9488-19983,23.13708,113.30941
9488-19982,23.13708,113.30941
9495-20434,23.13544,113.328
9495-20432,23.13544,113.328
9495-20431,23.13544,113.328
9692-47154,0.0,0.0
42288-17813,23.29497,113.82528
42288-17812,23.29497,113.82528
42288-17811,23.29497,113.82528
10323-11045,0.0,0.0
10323-11044,0.0,0.0
10323-11047,0.0,0.0
10323-11049,0.0,0.0
10323-11048,0.0,0.0
42259-29301,0.0,0.0
42259-29302,0.0,0.0
42259-29303,0.0,0.0
10007-17491,0.0,0.0
9439-42111,23.17871,113.24389
10300-31792,0.0,0.0
10300-31793,23.05265,113.276406
10300-31791,23.051938,113.289948
42261-2396,23.51243,113.26931
42261-2397,23.51243,113.26931
10309-26292,22.79867,113.399057
10309-26291,22.80119,113.402792
42261-2398,23.51243,113.26931
42260-26653,0.0,0.0
42260-26652,0.0,0.0
42260-26651,0.0,0.0
42261-53142,23.458828,113.169537
10315-28777,23.14897,113.2504
42265-45401,23.125769,113.385421
10310-58765,23.383642,113.190441
42261-53143,23.458828,113.169537
10026-26117,23.21184,113.38115
42266-55521,23.15702,113.245193
10316-10567,0.0,0.0
10007-17492,23.458862,113.170578
10026-26119,23.21184,113.38115
10026-26118,23.21184,113.38115
9495-55054,23.13363,113.32555
9492-42977,23.106403,113.300961
9492-42978,23.106403,113.300961
9742-21981,0.0,0.0
42267-13568,22.95264,113.31746
42266-5164,23.13092,113.25601
42267-13566,22.95264,113.31746
42267-13567,22.95264,113.31746
42266-5161,23.13092,113.25601
9466-11145,23.17662,113.3391
9466-11144,23.17662,113.3391
9466-11146,23.17662,113.3391
42265-2387,23.14487,113.27419
42265-2386,23.14487,113.27419
42288-17101,23.24588,113.61858
42288-17103,23.24588,113.61858
42288-17102,23.24588,113.61858
9475-26644,23.14011,113.4492
10312-11254,23.127515,113.231783
9749-47985,0.0,0.0
42267-53471,23.024105,113.328809
9424-38755,23.10197,113.366708
9424-38754,23.105054,113.366351
10010-53363,23.07656,113.33796
10010-53362,23.07656,113.33796
10010-53361,23.07656,113.33796
10010-53367,23.087912,113.326635
10010-53366,0.0,0.0
10010-53365,23.08251,113.326203
9486-14,23.19498,113.25713
9486-15,23.19498,113.25713
10306-57039,0.0,0.0
10306-57038,0.0,0.0
9736-46064,23.036467,113.322353
9736-46065,0.0,0.0
10323-18586,0.0,0.0
10323-18585,0.0,0.0
10323-18584,23.298078,113.809277
42263-4831,22.98505,113.4792
10323-18582,23.339978,113.83413
9444-25333,23.06046,113.28735
42263-4832,22.98505,113.4792
9453-31031,23.13426,113.26734
9455-21282,0.0,0.0
9472-22211,23.13054,113.33774
9472-22212,23.13054,113.33774
9472-22213,23.13054,113.33774
42260-6121,0.0,0.0
42265-47121,23.13912,113.290503
9492-28229,23.11109,113.29373
9492-28228,23.11109,113.29373
42267-23633,23.03303,113.27674
42267-23632,23.03303,113.27674
10311-20957,23.08059,113.27809
10040-54654,0.0,0.0
10040-54657,0.0,0.0
10040-54659,23.217595,113.515718
10040-54658,0.0,0.0
42265-46451,23.129961,113.275622
10322-26781,23.34133,113.37056
10322-26783,23.34133,113.37056
10322-26782,23.34133,113.37056
42260-50831,0.0,0.0
42261-36911,23.40237,113.20061
9500-33831,23.08543,113.27182
9500-33832,23.08543,113.27182
9500-33833,23.08543,113.27182
9506-26274,23.64667,113.65139
9492-28591,23.1062,113.30069
42265-15071,23.11763,113.38753
42265-15072,23.11763,113.38753
42265-15073,23.11763,113.38753
9470-39906,23.15221,113.31914
9470-39907,23.15221,113.31914
9470-39904,23.15221,113.31914
9470-39905,23.15221,113.31914
42259-17491,0.0,0.0
9439-44757,23.17346,113.26098
42259-17493,0.0,0.0
42259-17492,0.0,0.0
42265-46981,23.15045,113.287892
9439-44751,23.17346,113.26098
10015-44892,23.09755,113.53835
10015-44893,23.09755,113.53835
42267-5003,22.94672,113.32955
42267-5002,22.94672,113.32955
42267-5001,22.94672,113.32955
10318-45791,0.0,0.0
9426-16861,23.12298,113.34753
10027-51977,0.0,0.0
9435-50954,0.0,0.0
9436-27334,23.11867,113.24672
42261-42341,23.4942,113.23115
42268-34711,22.88185,113.46583
9441-25169,23.04774,113.369184
9441-25168,23.041894,113.370937
10307-57844,0.0,0.0
42265-45181,0.0,0.0
42265-45183,0.0,0.0
42265-45182,0.0,0.0
9441-25167,0.0,0.0
9746-14421,23.16139,113.20516
10307-57846,23.49492,113.28675
9425-15209,23.19388,113.41101
9425-15208,23.19388,113.41101
9746-14426,23.16226,113.21653
9746-14427,23.16818,113.20632
9425-15205,23.19388,113.41101
9425-15204,23.19388,113.41101
9425-15207,23.19388,113.41101
9425-15206,23.19388,113.41101
42259-61713,23.31417,113.55603
42259-61712,23.31417,113.55603
42259-61711,23.31417,113.55603
9477-21113,0.0,0.0
9477-21112,0.0,0.0
9477-21111,0.0,0.0
42267-22271,22.9115,113.3173
42266-43261,23.11269,113.23911
9423-30178,23.1032,113.30804
9423-30179,23.1032,113.30804
10332-33761,22.826563,113.44615
42261-25051,23.37924,113.15467
42289-9906,23.52306,113.63834
42289-9907,23.52306,113.63834
9734-39641,23.15379,113.24811
42289-9908,23.52306,113.63834
9436-27337,23.11867,113.24672
42259-27423,23.1503,113.36783
42259-27422,23.1503,113.36783
42259-27421,23.1503,113.36783
42265-28541,23.11782,113.3227
9432-38864,0.0,0.0
10324-36330,0.0,0.0
9454-32114,23.0949,113.296
9454-32115,23.0949,113.296
9736-54964,23.044477,113.329202
42266-9841,23.0722,113.27621
42266-9842,23.0722,113.27621
42266-9843,23.0722,113.27621
9736-54961,0.0,0.0
9736-54962,0.0,0.0
9736-54963,23.043282,113.329021
9736-54968,0.0,0.0
9736-54969,23.04484,113.330443
9475-48324,23.179977,113.426599
42263-4791,22.96996,113.47975
42263-4792,22.96996,113.47975
42263-4793,22.96996,113.47975
42288-18643,23.2248,113.654
42288-18642,23.2248,113.654
42288-18641,23.2248,113.654
10318-51978,0.0,0.0
42268-23001,22.90792,113.36351
42268-23003,22.90792,113.36351
42268-23002,22.90792,113.36351
9487-61978,23.15286,113.21659
9487-61975,23.1479,113.2215
9487-61976,23.15286,113.21659
9487-61977,23.15286,113.21659
42289-29761,23.63974,113.67102
42289-29763,23.63974,113.67102
42289-29762,23.63974,113.67102
10031-39069,22.742497,113.598138
10031-39067,0.0,0.0
9435-52084,0.0,0.0
9435-52087,0.0,0.0
9435-52081,0.0,0.0
42266-35401,23.134669,113.24339
9508-59395,23.12869,113.2683
9749-40247,23.09979,113.22181
9508-59397,23.12869,113.2683
9508-59396,23.12869,113.2683
42267-24263,22.91117,113.31389
42267-24262,22.91117,113.31389
42267-24261,22.91117,113.31389
10021-12943,0.0,0.0
42267-10041,23.04662,113.36076
9470-33627,23.14865,113.31827
42267-10043,23.04662,113.36076
42260-8031,23.21618,113.24716
42260-8032,23.21618,113.24716
42260-8033,23.21618,113.24716
9444-38927,23.06697,113.29559
10035-39531,23.23232,113.25619
42260-7617,23.300745,113.20593
10035-39532,23.23232,113.25619
10306-1014,23.033672,113.304488
42260-7618,23.300745,113.20593
9664-65416,0.0,0.0
10031-39681,0.0,0.0
10007-37147,23.443812,113.182648
42263-2301,22.63131,113.67411
9506-46464,23.62076,113.67256
42263-2303,22.63131,113.67411
42263-2302,22.63131,113.67411
9482-58131,0.0,0.0
9480-57461,23.09993,113.3533
9441-12820,23.044055,113.380294
42259-35743,0.0,0.0
9452-52103,23.12312,113.28019
10041-30004,23.19195,113.26556
42266-50271,23.1386,113.25188
10009-41608,23.087338,113.276638
10009-41604,23.078859,113.280115
10009-41607,23.091103,113.273908
10009-41601,23.069323,113.289425
9748-16371,23.60296,113.43704
9748-16372,23.60296,113.43704
9748-16373,23.60296,113.43704
9464-44879,23.381806,113.437086
9464-44878,0.0,0.0
9462-34814,23.06929,113.28004
9464-44877,0.0,0.0
42260-602,23.208004,113.324139
42260-603,23.208004,113.324139
42260-601,23.208004,113.324139
9472-58354,23.12609,113.3148
10308-36025,0.0,0.0
10308-36024,23.287302,113.817603
10308-36026,23.286866,113.813359
10015-40137,23.09897,113.53661
9453-39601,23.13475,113.27369
9453-39602,23.13475,113.27369
10332-12146,22.901956,113.454649
10332-12145,22.899754,113.460389
10318-21774,23.18641,113.22753
42259-39931,23.18566,113.45112
42268-21331,22.91267,113.39203
42268-21333,22.91267,113.39203
42268-21332,22.91267,113.39203
10008-54462,23.212442,113.823748
10008-54461,0.0,0.0
10318-14397,23.17781,113.23781
10318-14399,23.17781,113.23781
9741-11941,0.0,0.0
42266-38971,23.105173,113.241354
9741-18632,23.120408,113.612757
9741-18633,0.0,0.0
9741-18631,0.0,0.0
9506-2362,23.89028,114.0025
9434-36341,22.960214,113.36504
9434-36343,22.957611,113.357982
9434-36342,22.955793,113.365065
9434-36345,0.0,0.0
9434-36344,0.0,0.0
9434-36347,22.949731,113.358783
9434-36346,0.0,0.0
9734-50492,23.14889,113.2414
9434-36348,0.0,0.0
9734-50491,23.14889,113.2414
9730-21858,0.0,0.0
42261-11913,23.38472,113.2199
42261-11912,23.38472,113.2199
42261-11911,23.38472,113.2199
9454-20213,0.0,0.0
9434-56151,0.0,0.0
9493-38683,23.12819,113.37853
9493-38682,23.128045,113.376771
9493-38681,0.0,0.0
42259-35471,0.0,0.0
9460-10327,23.06901,113.20971
9731-33151,23.2074,113.28247
9731-33153,23.2074,113.28247
9731-33152,23.2074,113.28247
9425-45662,23.19403,113.41871
9425-45663,23.19403,113.41871
9425-45661,23.19403,113.41871
9429-13477,0.0,0.0
9486-49281,0.0,0.0
10027-53193,23.155075,113.625182
9461-50651,0.0,0.0
9736-15062,23.038281,113.323516
9442-52579,0.0,0.0
9442-52578,0.0,0.0
9442-52577,23.0339,113.408598
9484-41041,23.11543,113.27853
9484-41042,23.11543,113.27853
10023-25457,23.153347,113.648219
42260-49812,23.181177,113.315839
42260-49811,23.181177,113.315839
9429-36563,22.901075,113.298841
42265-62421,23.149671,113.290493
9429-36561,0.0,0.0
10326-58237,0.0,0.0
9461-28125,0.0,0.0
9459-53714,0.0,0.0
